"FindID","PrimaryMaterial","Denomination","Tribe","Easting","Northing"
"CCI-00112","Gold","Quarter stater (gold)","Uninscribed",395000,138000
"CCI-00265","Silver","Unit (silver)","Uninscribed",364000,139000
"CCI-00388","Silver","Unit (silver)","Uninscribed",394000,226000
"CCI-004","Copper alloy","Unit (copper alloy)","Uninscribed",491000,306000
"CCI-00445","Silver","Unit (silver)","Uninscribed",414000,110000
"CCI-00798","Gold","Quarter stater (gold)","Uninscribed",341000,178000
"CCI-00846","Silver","Unit (silver)","Uninscribed",440000,116000
"CCI-00854","Gold","Quarter stater (gold)","Uninscribed",436000,114000
"CCI-00896","Copper alloy","Unit (copper alloy)","Uninscribed",398000,139000
"CCI-01048","Gold","Quarter stater (gold)","Uninscribed",430000,118000
"CCI-01205","Gold","Quarter stater (gold)","Uninscribed",309000,199000
"CCI-01294","Gold","Quarter stater (gold)","Uninscribed",489000,235000
"CCI-10535","Gold","Quarter stater (gold)","Uninscribed",344000,232000
"CCI-11621","Silver","Unit (silver)","Uninscribed",395000,138000
"CCI-20045","Silver","Unit (silver)","Uninscribed",451000,117000
"CCI-20304","Copper alloy","Unit (copper alloy)","Uninscribed",436000,114000
"CCI-20367","Gold","Quarter stater (gold)","Uninscribed",380000,199000
"CCI-20368","Gold","Quarter stater (gold)","Uninscribed",380000,199000
"CCI-20537","Silver","Unit (silver)","Uninscribed",424000,143000
"CCI-20596","Copper alloy","Unit (copper alloy)","Uninscribed",438000,116000
"CCI-2073","Silver","Unit (silver)","Uninscribed",414000,110000
"CCI-20926","Gold","Quarter stater (gold)","Uninscribed",482000,206000
"CCI-30665","Silver","Unit (silver)","Uninscribed",436000,114000
"CCI-3072","Copper alloy","Unit (copper alloy)","Uninscribed",398000,139000
"CCI-30791","Gold","Quarter stater (gold)","Uninscribed",363000,165000
"CCI-30897","Copper alloy","Unit (copper alloy)","Uninscribed",438000,116000
"CCI-41007","Silver","Unit (silver)","Uninscribed",446000,153000
"CCI-42179","Copper alloy","Unit (copper alloy)","Uninscribed",489000,232000
"CCI-710155","Gold","Quarter stater (gold)","Uninscribed",459000,231300
"CCI-760019","Gold","Quarter stater (gold)","Uninscribed",467000,259000
"CCI-780067","Silver","Unit (silver)","Uninscribed",458000,116000
"CCI-820298","Gold","Quarter stater (gold)","Uninscribed",489000,235000
"CCI-830092","Silver","Unit (silver)","Uninscribed",431800,187700
"CCI-830251","Silver","Unit (silver)","Uninscribed",424000,133000
"CCI-830344","Silver","Unit (silver)","Uninscribed",431800,187700
"CCI-830355","Gold","Quarter stater (gold)","Uninscribed",488730,233910
"CCI-84037","Gold","Quarter stater (gold)","Uninscribed",386600,161200
"CCI-860133","Gold","Quarter stater (gold)","Uninscribed",497000,222000
"CCI-890029","Gold","Quarter stater (gold)","Uninscribed",363000,165000
"CCI-900055","Silver","Unit (silver)","Uninscribed",500370,115570
"CCI-900058","Silver","Unit (silver)","Uninscribed",494300,114400
"CCI-900134","Silver","Unit (silver)","Uninscribed",436000,114000
"CCI-900811","Gold","Quarter stater (gold)","Uninscribed",462000,216000
"CCI-900835","Gold","Quarter stater (gold)","Uninscribed",346000,92000
"CCI-910107","Gold","Quarter stater (gold)","Uninscribed",370000,119000
"CCI-910352","Silver","Half unit (silver)","Uninscribed",422400,112900
"CCI-910417","Copper alloy","Unit (copper alloy)","Uninscribed",422400,112900
"CCI-910419","Copper alloy","Quarter Stater (copper alloy)","Uninscribed",422400,112900
"CCI-910425","Silver","Unit (silver)","Uninscribed",422400,112900
"CCI-910427","Silver","Unit (silver)","Uninscribed",422400,112900
"CCI-910434","Copper alloy","Stater (copper alloy)","Uninscribed",422400,112900
"CCI-910446","Silver","Unit (silver)","Uninscribed",422400,112900
"CCI-910453","Copper alloy","Unit (copper alloy)","Uninscribed",422400,112900
"CCI-910465","Gold","Quarter stater (gold)","Uninscribed",439000,211000
"CCI-910494","Silver","Unit (silver)","Uninscribed",422400,112900
"CCI-910499","Silver","Unit (silver)","Uninscribed",422400,112900
"CCI-910504","Silver","Unit (silver)","Uninscribed",422400,112900
"CCI-910506","Silver","Unit (silver)","Uninscribed",422400,112900
"CCI-910577","Copper alloy","Unit (copper alloy)","Uninscribed",422400,112900
"CCI-920692","Gold","Quarter stater (gold)","Uninscribed",380000,199000
"CCI-920693","Gold","Quarter stater (gold)","Uninscribed",4e+05,203000
"CCI-930157","Gold","Quarter stater (gold)","Uninscribed",371000,179000
"CCI-930204","Silver","Unit (silver)","Uninscribed",436000,217000
"CCI-930897","Gold","Quarter stater (gold)","Uninscribed",371000,179000
"CCI-940005","Gold","Quarter stater (gold)","Uninscribed",414000,201000
"CCI-940039","Gold","Quarter stater (gold)","Uninscribed",319000,1e+05
"CCI-940112","Gold","Quarter stater (gold)","Uninscribed",401000,216000
"CCI-940232","Gold","Quarter stater (gold)","Uninscribed",319000,1e+05
"CCI-940789","Gold","Quarter stater (gold)","Uninscribed",436000,114000
"CCI-941115","Gold","Quarter stater (gold)","Uninscribed",4e+05,203000
"CCI-941441","Gold","Quarter stater (gold)","Uninscribed",350452,171231
"CCI-941466","Copper alloy","Quarter Stater (copper alloy)","Uninscribed",422000,110000
"CCI-950439","Silver","Unit (silver)","Uninscribed",436000,114000
"CCI-950441","Gold","Quarter stater (gold)","Uninscribed",438000,116000
"CCI-950518","Silver","Unit (silver)","Uninscribed",476000,122000
"CCI-951032","Silver","Unit (silver)","Uninscribed",429000,188000
"CCI-951124","Gold","Quarter stater (gold)","Uninscribed",436000,114000
"CCI-951192","Silver","Unit (silver)","Uninscribed",432000,117000
"CCI-952903","Gold","Quarter stater (gold)","Uninscribed",387000,209000
"CCI-953458","Silver","Unit (silver)","Uninscribed",417000,115000
"CCI-953463","Gold","Quarter stater (gold)","Uninscribed",382000,147000
"CCI-961343","Silver","Unit (silver)","Uninscribed",471000,115000
"CCI-961546","Silver","Unit (silver)","Uninscribed",436000,114000
"CCI-961574","Silver","Unit (silver)","Uninscribed",436000,114000
"CCI-96181","Silver","Unit (silver)","Uninscribed",438000,116000
"CCI-961823","Gold","Quarter stater (gold)","Uninscribed",438000,261000
"CCI-961824","Silver","Unit (silver)","Uninscribed",427000,124000
"CCI-96224","Gold","Quarter stater (gold)","Uninscribed",363000,165000
"CCI-962423","Gold","Stater (gold)","Uninscribed",477000,218000
"CCI-963308","Gold","Quarter stater (gold)","Uninscribed",427000,124000
"CCI-963309","Gold","Quarter stater (gold)","Uninscribed",440000,116000
"CCI-963391","Silver","Unit (silver)","Uninscribed",452000,112000
"CCI-971003","Silver","Unit (silver)","Uninscribed",440000,116000
"CCI-971009","Gold","Quarter stater (gold)","Uninscribed",363000,165000
"CCI-971056","Gold","Stater (gold)","Uninscribed",319000,83000
"CCI-971142","Silver","Unit (silver)","Uninscribed",385000,219000
"CCI-971551","Silver","Unit (silver)","Uninscribed",436000,114000
"CCI-971564","Gold","Quarter stater (gold)","Uninscribed",366000,170000
"CCI-971576","Gold","Quarter stater (gold)","Uninscribed",436000,114000
"CCI-971659","Gold","Quarter stater (gold)","Uninscribed",467000,223000
"CCI-972103","Copper alloy","Quarter Stater (copper alloy)","Uninscribed",447000,190000
"CCI-972104","Gold","Quarter stater (gold)","Uninscribed",471000,172000
"CCI-972147","Silver","Unit (silver)","Uninscribed",436000,114000
"CCI-972163","Gold","Quarter stater (gold)","Uninscribed",488000,233000
"CCI-972277","Silver","Unit (silver)","Uninscribed",436000,114000
"CCI-972296","Gold","Quarter stater (gold)","Uninscribed",363000,165000
"CCI-972303","Gold","Quarter stater (gold)","Uninscribed",488000,233000
"CCI-972304","Gold","Quarter stater (gold)","Uninscribed",449000,282000
"CCI-980338","Gold","Quarter stater (gold)","Uninscribed",436000,114000
"CCI-980348","Gold","Quarter stater (gold)","Uninscribed",449000,159000
"CCI-980479","Gold","Quarter stater (gold)","Uninscribed",436000,114000
"CCI-98048","Gold","Quarter stater (gold)","Uninscribed",446000,118000
"CCI-9805","Gold","Quarter stater (gold)","Uninscribed",498000,231000
"CCI-981039","Silver","Unit (silver)","Uninscribed",410000,128000
"CCI-981051","Gold","Quarter stater (gold)","Uninscribed",369000,170000
"CCI-981086","Copper alloy","Unit (copper alloy)","Uninscribed",398000,139000
"CCI-981087","Copper alloy","Unit (copper alloy)","Uninscribed",398000,139000
"CCI-981088","Gold","Quarter stater (gold)","Uninscribed",398000,139000
"CCI-981089","Gold","Quarter stater (gold)","Uninscribed",398000,139000
"CCI-981136","Gold","Quarter stater (gold)","Uninscribed",395000,137000
"CCI-981143","Gold","Quarter stater (gold)","Uninscribed",397000,183000
"CCI-981179","Gold","Quarter stater (gold)","Uninscribed",435000,242000
"CCI-981247","Gold","Quarter stater (gold)","Uninscribed",369000,170000
"CCI-981272","Silver","Minim (silver)","Uninscribed",406000,95000
"CCI-981273","Silver","Minim (silver)","Uninscribed",406000,95000
"CCI-981274","Silver","Minim (silver)","Uninscribed",406000,95000
"CCI-981275","Silver","Minim (silver)","Uninscribed",406000,95000
"CCI-981322","Silver","Unit (silver)","Uninscribed",424000,133000
"CCI-981551","Gold","Quarter stater (gold)","Uninscribed",436000,114000
"CCI-981564","Gold","Quarter stater (gold)","Uninscribed",351000,267000
"CCI-982148","Gold","Quarter stater (gold)","Uninscribed",436000,114000
"CCI-982149","Gold","Quarter stater (gold)","Uninscribed",369000,170000
"CCI-982154","Gold","Quarter stater (gold)","Uninscribed",453000,229000
"CCI-98219","Gold","Quarter stater (gold)","Uninscribed",360000,261000
"CCI-98226","Copper alloy","Unit (copper alloy)","Uninscribed",448000,124000
"CCI-990687","Copper alloy","Quarter Stater (copper alloy)","Uninscribed",436000,114000
"CCI-990858","Gold","Quarter stater (gold)","Uninscribed",436000,114000
"CCI-99101","Gold","Quarter stater (gold)","Uninscribed",410000,170000
"CCI-991228","Silver","Unit (silver)","Uninscribed",451000,117000
"CCI-991271","Silver","Unit (silver)","Uninscribed",436000,114000
"CCI-991389","Gold","Quarter stater (gold)","Uninscribed",474000,243000
"CCI-991816","Silver","Unit (silver)","Uninscribed",414000,110000
"CCI-00334","Silver","Half unit (silver)","Iceni",5e+05,252000
"CCI-00345","Silver","Unit (silver)","Iceni",491000,306000
"CCI-00348","Silver","Unit (silver)","Iceni",491000,306000
"CCI-0044","Silver","Unit (silver)","Iceni",436000,114000
"CCI-01148","Silver","Unit (silver)","Iceni",499000,248500
"CCI-0181","Silver","Unit (silver)","Iceni",494000,268000
"CCI-10734","Silver","Unit (silver)","Iceni",494000,268000
"CCI-10735","Silver","Unit (silver)","Iceni",494000,268000
"CCI-10736","Silver","Unit (silver)","Iceni",494000,268000
"CCI-10737","Silver","Unit (silver)","Iceni",494000,268000
"CCI-10738","Silver","Unit (silver)","Iceni",494000,268000
"CCI-10739","Silver","Unit (silver)","Iceni",494000,268000
"CCI-1074","Silver","Unit (silver)","Iceni",494000,268000
"CCI-10741","Silver","Unit (silver)","Iceni",494000,268000
"CCI-10742","Silver","Unit (silver)","Iceni",494000,268000
"CCI-10743","Silver","Unit (silver)","Iceni",494000,268000
"CCI-10751","Silver","Unit (silver)","Iceni",495000,303000
"CCI-10752","Silver","Unit (silver)","Iceni",494000,268000
"CCI-10753","Silver","Unit (silver)","Iceni",494000,268000
"CCI-10754","Silver","Unit (silver)","Iceni",494000,268000
"CCI-10756","Silver","Unit (silver)","Iceni",494000,268000
"CCI-10986","Silver","Half unit (silver)","Iceni",482000,354000
"CCI-11122","Silver","Unit (silver)","Iceni",491000,302000
"CCI-11429","Copper alloy","Unit (copper alloy)","Iceni",429000,264000
"CCI-11468","Silver","Unit (silver)","Iceni",495000,303000
"CCI-20122","Silver","Unit (silver)","Iceni",489000,235000
"CCI-20131","Copper alloy","Unit (copper alloy)","Iceni",498750,284150
"CCI-20152","Gold","Stater (gold)","Iceni",495000,303000
"CCI-20162","Silver","Unit (silver)","Iceni",495000,303000
"CCI-20185","Silver","Unit (silver)","Iceni",495000,303000
"CCI-20205","Silver","Unit (silver)","Iceni",495000,303000
"CCI-20206","Silver","Unit (silver)","Iceni",495000,303000
"CCI-2021","Silver","Unit (silver)","Iceni",495000,303000
"CCI-20229","Silver","Half unit (silver)","Iceni",495000,303000
"CCI-20235","Silver","Unit (silver)","Iceni",495000,303000
"CCI-20236","Copper alloy","Unit (copper alloy)","Iceni",495000,303000
"CCI-20239","Gold","Quarter stater (gold)","Iceni",495000,303000
"CCI-20245","Silver","Unit (silver)","Iceni",495000,303000
"CCI-2031","Silver","Half unit (silver)","Iceni",495000,303000
"CCI-20606","Silver","Unit (silver)","Iceni",495000,303000
"CCI-20673","Silver","Unit (silver)","Iceni",474000,243000
"CCI-30038","Silver","Unit (silver)","Iceni",494000,268000
"CCI-3017","Silver","Unit (silver)","Iceni",494000,268000
"CCI-30552","Silver","Unit (silver)","Iceni",498000,259000
"CCI-30862","Silver","Unit (silver)","Iceni",491000,258000
"CCI-40237","Silver","Unit (silver)","Iceni",451000,343000
"CCI-40242","Silver","Unit (silver)","Iceni",494000,268000
"CCI-40261","Silver","Unit (silver)","Iceni",451000,343000
"CCI-41042","Silver","Unit (silver)","Iceni",495000,303000
"CCI-42181","Silver","Unit (silver)","Iceni",451000,343000
"CCI-42402","Copper alloy","Stater (copper alloy)","Iceni",456000,355000
"CCI-42404","Silver","Unit (silver)","Iceni",451000,343000
"CCI-42422","Silver","Unit (silver)","Iceni",451000,343000
"CCI-610684","Silver","Unit (silver)","Iceni",495000,303000
"CCI-610719","Silver","Unit (silver)","Iceni",495000,303000
"CCI-610809","Silver","Unit (silver)","Iceni",495000,303000
"CCI-610879","Silver","Unit (silver)","Iceni",495000,303000
"CCI-61088","Silver","Unit (silver)","Iceni",495000,303000
"CCI-610919","Silver","Unit (silver)","Iceni",495000,303000
"CCI-610943","Silver","Half unit (silver)","Iceni",495000,303000
"CCI-611258","Silver","Unit (silver)","Iceni",495000,303000
"CCI-611375","Silver","Unit (silver)","Iceni",495000,303000
"CCI-611444","Silver","Unit (silver)","Iceni",495000,303000
"CCI-61146","Silver","Unit (silver)","Iceni",495000,303000
"CCI-611512","Silver","Unit (silver)","Iceni",495000,303000
"CCI-611527","Silver","Half unit (silver)","Iceni",495000,303000
"CCI-650118","Silver","Unit (silver)","Iceni",335700,120600
"CCI-660366","Silver","Unit (silver)","Iceni",433800,103400
"CCI-670445","Silver","Unit (silver)","Iceni",495000,303000
"CCI-670486","Silver","Unit (silver)","Iceni",495000,303000
"CCI-681096","Silver","Unit (silver)","Iceni",491000,306000
"CCI-681104","Silver","Unit (silver)","Iceni",321000,303000
"CCI-68116","Silver","Unit (silver)","Iceni",491000,306000
"CCI-681174","Silver","Unit (silver)","Iceni",495000,303000
"CCI-681278","Silver","Unit (silver)","Iceni",410000,199000
"CCI-700057","Silver","Unit (silver)","Iceni",497100,222500
"CCI-720576","Copper alloy","Unit (copper alloy)","Iceni",488000,234000
"CCI-730876","Silver","Unit (silver)","Iceni",364000,139000
"CCI-740206","Silver","Unit (silver)","Iceni",495000,268000
"CCI-810109","Silver","Unit (silver)","Iceni",489000,296000
"CCI-81011","Silver","Unit (silver)","Iceni",489000,296000
"CCI-810111","Silver","Unit (silver)","Iceni",489000,296000
"CCI-820532","Silver","Unit (silver)","Iceni",489000,296000
"CCI-820558","Silver","Unit (silver)","Iceni",489000,296000
"CCI-820571","Silver","Unit (silver)","Iceni",489000,296000
"CCI-860198","Gold","Stater (gold)","Iceni",498000,267000
"CCI-860223","Gold","Quarter stater (gold)","Iceni",498000,267000
"CCI-860224","Gold","Quarter stater (gold)","Iceni",498000,267000
"CCI-860225","Gold","Quarter stater (gold)","Iceni",498000,267000
"CCI-890062","Silver","Unit (silver)","Iceni",441000,327000
"CCI-890066","Silver","Half unit (silver)","Iceni",441000,327000
"CCI-900314","Silver","Unit (silver)","Iceni",497100,222500
"CCI-900804","Gold","Stater (gold)","Iceni",491000,306000
"CCI-910552","Copper alloy","Unit (copper alloy)","Iceni",422400,112900
"CCI-920161","NULL","uncertain","Iceni",494000,303000
"CCI-920162","Silver","Unit (silver)","Iceni",494000,303000
"CCI-920163","Silver","Unit (silver)","Iceni",494000,303000
"CCI-920164","Silver","Unit (silver)","Iceni",494000,303000
"CCI-920165","Silver","Unit (silver)","Iceni",494000,303000
"CCI-920166","Silver","Unit (silver)","Iceni",494000,303000
"CCI-920167","Silver","Unit (silver)","Iceni",494000,303000
"CCI-920168","Silver","Unit (silver)","Iceni",494000,303000
"CCI-920235","Silver","Unit (silver)","Iceni",5e+05,288000
"CCI-920565","Silver","Unit (silver)","Iceni",495000,277000
"CCI-920566","Silver","Unit (silver)","Iceni",495000,277000
"CCI-921074","Silver","Unit (silver)","Iceni",474000,332000
"CCI-930427","Silver","Unit (silver)","Iceni",495000,277000
"CCI-930469","Silver","Unit (silver)","Iceni",495000,303000
"CCI-930688","Silver","Unit (silver)","Iceni",495000,303000
"CCI-94012","Silver","Half unit (silver)","Iceni",438000,116000
"CCI-940676","Copper alloy","Unit (copper alloy)","Iceni",495000,303000
"CCI-941394","Silver","Unit (silver)","Iceni",495000,277000
"CCI-950583","Silver","Unit (silver)","Iceni",449000,282000
"CCI-950669","Silver","Unit (silver)","Iceni",473000,281000
"CCI-960854","Silver","Unit (silver)","Iceni",440200,159500
"CCI-960855","Silver","Unit (silver)","Iceni",440200,159500
"CCI-960857","Silver","Unit (silver)","Iceni",440200,159500
"CCI-960861","Silver","Unit (silver)","Iceni",440200,159500
"CCI-960862","Silver","Unit (silver)","Iceni",440200,159500
"CCI-960863","Silver","Unit (silver)","Iceni",440200,159500
"CCI-960864","Silver","Unit (silver)","Iceni",440200,159500
"CCI-960865","Silver","Unit (silver)","Iceni",440200,159500
"CCI-960913","Silver","Half unit (silver)","Iceni",440200,159500
"CCI-96185","Silver","Unit (silver)","Iceni",488000,233000
"CCI-9625","Gold","Quarter stater (gold)","Iceni",477000,218000
"CCI-962695","Silver","Unit (silver)","Iceni",361000,319000
"CCI-963466","Silver","Unit (silver)","Iceni",495000,303000
"CCI-963467","Copper alloy","Unit (copper alloy)","Iceni",495000,303000
"CCI-963468","Silver","Half unit (silver)","Iceni",495000,303000
"CCI-971219","Silver","Half unit (silver)","Iceni",495000,277000
"CCI-971396","Silver","Unit (silver)","Iceni",399730,263050
"CCI-980608","Gold","Quarter stater (gold)","Iceni",477000,218000
"CCI-980609","Gold","Quarter stater (gold)","Iceni",477000,218000
"CCI-980733","Silver","Unit (silver)","Iceni",421000,149000
"CCI-981379","Silver","Unit (silver)","Iceni",495000,303000
"CCI-981422","Silver","Unit (silver)","Iceni",430000,283000
"CCI-98156","Silver","Unit (silver)","Iceni",392000,297000
"CCI-981561","Silver","Unit (silver)","Iceni",391000,299000
"CCI-981975","Gold","Quarter stater (gold)","Iceni",495000,303000
"CCI-982288","Silver","Half unit (silver)","Iceni",494000,268000
"CCI-982289","Silver","Unit (silver)","Iceni",495000,303000
"CCI-990555","Gold","Quarter stater (gold)","Iceni",477000,218000
"CCI-991091","Silver","Unit (silver)","Iceni",494000,268000
"CCI-99115","Silver","Half unit (silver)","Iceni",489000,295000
"CCI-991383","Silver","Stater (silver)","Iceni",5e+05,252000
"CCI-992032","Silver","Half unit (silver)","Iceni",485000,250000
"CCI-30197","Silver","Unit (silver)","Iceni",491000,306000
"CCI-00043","Gold","Stater (gold)","Trinovantes",453000,191000
"CCI-00044","Silver","Unit (silver)","Trinovantes",452000,216000
"CCI-00045","Gold","Quarter stater (gold)","Trinovantes",452000,216000
"CCI-00297","Gold","Stater (gold)","Trinovantes",449000,288000
"CCI-003","Gold","Quarter stater (gold)","Trinovantes",453000,298000
"CCI-00305","Copper alloy","Unit (copper alloy)","Trinovantes",474000,243000
"CCI-00306","Copper alloy","Unit (copper alloy)","Trinovantes",474000,243000
"CCI-0031","Gold","Stater (gold)","Trinovantes",489000,235000
"CCI-00375","Silver","Unit (silver)","Trinovantes",451000,231000
"CCI-00377","Silver","Unit (silver)","Trinovantes",485000,250000
"CCI-00404","Copper alloy","Unit (copper alloy)","Trinovantes",449000,288000
"CCI-00405","Copper alloy","Unit (copper alloy)","Trinovantes",442000,340000
"CCI-00407","Copper alloy","Unit (copper alloy)","Trinovantes",460000,331000
"CCI-00409","Copper alloy","Unit (copper alloy)","Trinovantes",5e+05,252000
"CCI-0041","Copper alloy","Unit (copper alloy)","Trinovantes",5e+05,252000
"CCI-00411","Copper alloy","Unit (copper alloy)","Trinovantes",448000,281000
"CCI-00412","Copper alloy","Unit (copper alloy)","Trinovantes",5e+05,252000
"CCI-00458","Copper alloy","Unit (copper alloy)","Trinovantes",5e+05,252000
"CCI-00459","Silver","Unit (silver)","Trinovantes",449000,282000
"CCI-0046","Silver","Unit (silver)","Trinovantes",449000,282000
"CCI-00461","Copper alloy","Unit (copper alloy)","Trinovantes",445000,285000
"CCI-00462","Copper alloy","Unit (copper alloy)","Trinovantes",459000,295000
"CCI-00463","Copper alloy","Unit (copper alloy)","Trinovantes",5e+05,252000
"CCI-00464","Copper alloy","Unit (copper alloy)","Trinovantes",5e+05,252000
"CCI-00465","Copper alloy","Unit (copper alloy)","Trinovantes",448000,281000
"CCI-00466","Copper alloy","Unit (copper alloy)","Trinovantes",448000,281000
"CCI-00467","Copper alloy","Unit (copper alloy)","Trinovantes",463290,305781
"CCI-00468","Copper alloy","Unit (copper alloy)","Trinovantes",448000,281000
"CCI-0047","Copper alloy","Unit (copper alloy)","Trinovantes",448000,281000
"CCI-00471","Copper alloy","Unit (copper alloy)","Trinovantes",440000,284000
"CCI-00472","Copper alloy","Unit (copper alloy)","Trinovantes",440000,284000
"CCI-00473","Copper alloy","Unit (copper alloy)","Trinovantes",5e+05,252000
"CCI-00474","Copper alloy","Unit (copper alloy)","Trinovantes",449000,288000
"CCI-00475","Copper alloy","Unit (copper alloy)","Trinovantes",5e+05,252000
"CCI-00476","Copper alloy","Unit (copper alloy)","Trinovantes",440000,284000
"CCI-00477","Copper alloy","Unit (copper alloy)","Trinovantes",459000,295000
"CCI-00478","Copper alloy","Unit (copper alloy)","Trinovantes",5e+05,252000
"CCI-00583","Silver","Half unit (silver)","Trinovantes",453000,298000
"CCI-00584","Gold","Stater (gold)","Trinovantes",452000,216000
"CCI-00631","Copper alloy","Unit (copper alloy)","Trinovantes",474000,243000
"CCI-00632","Silver","Half unit (silver)","Trinovantes",474000,243000
"CCI-00813","Silver","Unit (silver)","Trinovantes",452000,289000
"CCI-00814","Silver","Unit (silver)","Trinovantes",452000,289000
"CCI-00827","Silver","Unit (silver)","Trinovantes",495000,303000
"CCI-00877","Gold","Stater (gold)","Trinovantes",442000,221000
"CCI-00878","Gold","Stater (gold)","Trinovantes",447000,190000
"CCI-0088","Silver","Unit (silver)","Trinovantes",4e+05,203000
"CCI-00881","Copper alloy","Unit (copper alloy)","Trinovantes",488000,233000
"CCI-00882","Copper alloy","Quarter Stater (copper alloy)","Trinovantes",419000,126000
"CCI-00883","Copper alloy","Unit (copper alloy)","Trinovantes",430000,213000
"CCI-00884","Copper alloy","Unit (copper alloy)","Trinovantes",488000,233000
"CCI-00892","Silver","Unit (silver)","Trinovantes",435000,218000
"CCI-00906","Silver","Unit (silver)","Trinovantes",407000,219000
"CCI-00909","Gold","Quarter stater (gold)","Trinovantes",380000,250000
"CCI-0094","Gold","Quarter stater (gold)","Trinovantes",483395,189388
"CCI-00975","Copper alloy","Unit (copper alloy)","Trinovantes",474000,243000
"CCI-01062","Silver","Unit (silver)","Trinovantes",480000,190000
"CCI-01063","Gold","Stater (gold)","Trinovantes",371000,179000
"CCI-01064","Gold","Quarter stater (gold)","Trinovantes",452000,216000
"CCI-01071","Gold","Stater (gold)","Trinovantes",371000,179000
"CCI-01105","Copper alloy","Unit (copper alloy)","Trinovantes",385000,220000
"CCI-01111","Gold","Stater (gold)","Trinovantes",365000,194000
"CCI-01152","Gold","Stater (gold)","Trinovantes",393000,219000
"CCI-01154","Silver","Unit (silver)","Trinovantes",413000,252000
"CCI-01213","Gold","Quarter stater (gold)","Trinovantes",464000,217000
"CCI-01214","Gold","Quarter stater (gold)","Trinovantes",464000,217000
"CCI-01215","Silver","Unit (silver)","Trinovantes",464000,217000
"CCI-01217","Copper alloy","Unit (copper alloy)","Trinovantes",464000,217000
"CCI-01218","Gold","Quarter stater (gold)","Trinovantes",488000,233000
"CCI-01219","Gold","Stater (gold)","Trinovantes",436000,217000
"CCI-01224","Silver","Unit (silver)","Trinovantes",438700,247500
"CCI-01226","Silver","Unit (silver)","Trinovantes",492000,255000
"CCI-01375","Copper alloy","Unit (copper alloy)","Trinovantes",489000,235000
"CCI-01376","Silver","Half unit (silver)","Trinovantes",489000,235000
"CCI-01378","Copper alloy","Unit (copper alloy)","Trinovantes",489000,235000
"CCI-01379","Copper alloy","Stater (copper alloy)","Trinovantes",489000,235000
"CCI-0138","Copper alloy","Unit (copper alloy)","Trinovantes",464000,217000
"CCI-01418","Silver","Unit (silver)","Trinovantes",411000,201000
"CCI-01423","Gold","Stater (gold)","Trinovantes",450275,112537
"CCI-01469","Gold","Quarter stater (gold)","Trinovantes",413000,344000
"CCI-01473","Silver","Unit (silver)","Trinovantes",438000,244000
"CCI-01474","Silver","Unit (silver)","Trinovantes",461000,217000
"CCI-01527","Gold","Stater (gold)","Trinovantes",453000,153000
"CCI-0153","Gold","Stater (gold)","Trinovantes",442000,221000
"CCI-01532","Gold","Stater (gold)","Trinovantes",371000,179000
"CCI-01533","Gold","Stater (gold)","Trinovantes",445000,207000
"CCI-01651","Gold","Quarter stater (gold)","Trinovantes",488000,233000
"CCI-01656","Silver","Unit (silver)","Trinovantes",482000,257000
"CCI-01756","Gold","Stater (gold)","Trinovantes",450275,112537
"CCI-01781","Copper alloy","Unit (copper alloy)","Trinovantes",489000,257000
"CCI-01812","Copper alloy","Unit (copper alloy)","Trinovantes",489000,235000
"CCI-01813","Copper alloy","Unit (copper alloy)","Trinovantes",489000,235000
"CCI-01815","Silver","Unit (silver)","Trinovantes",494000,268000
"CCI-01826","Silver","Unit (silver)","Trinovantes",494000,268000
"CCI-01827","Silver","Unit (silver)","Trinovantes",494000,268000
"CCI-01828","Silver","Unit (silver)","Trinovantes",494000,268000
"CCI-01829","Silver","Half unit (silver)","Trinovantes",494000,268000
"CCI-01831","Silver","Unit (silver)","Trinovantes",452000,216000
"CCI-01842","Silver","Half unit (silver)","Trinovantes",489000,235000
"CCI-01844","Gold","Stater (gold)","Trinovantes",450275,112537
"CCI-01845","Gold","Stater (gold)","Trinovantes",450275,112537
"CCI-01846","Gold","Stater (gold)","Trinovantes",450275,112537
"CCI-01847","Gold","Stater (gold)","Trinovantes",450275,112537
"CCI-01848","Gold","Stater (gold)","Trinovantes",450275,112537
"CCI-01849","Gold","Stater (gold)","Trinovantes",450275,112537
"CCI-0185","Gold","Stater (gold)","Trinovantes",450271,112544
"CCI-01851","Gold","Stater (gold)","Trinovantes",450271,112544
"CCI-01918","Copper alloy","Unit (copper alloy)","Trinovantes",437000,270000
"CCI-01919","Copper alloy","Unit (copper alloy)","Trinovantes",437000,270000
"CCI-0192","Copper alloy","Unit (copper alloy)","Trinovantes",439000,278000
"CCI-10004","Gold","Quarter stater (gold)","Trinovantes",437000,270000
"CCI-10005","Gold","Stater (gold)","Trinovantes",437000,270000
"CCI-10006","Copper alloy","Unit (copper alloy)","Trinovantes",437000,270000
"CCI-10146","Gold","Quarter stater (gold)","Trinovantes",489000,235000
"CCI-10149","Silver","Unit (silver)","Trinovantes",464000,217000
"CCI-10151","Copper alloy","Unit (copper alloy)","Trinovantes",489000,235000
"CCI-10157","Copper alloy","Quarter Stater (copper alloy)","Trinovantes",405000,127000
"CCI-10164","Copper alloy","Unit (copper alloy)","Trinovantes",489000,235000
